arb_ID,timestamp,asset_in,amount_in,asset_out,amount_out,source_pool,target_pool,delta_X
ARB_00000_3225,2025-04-25 21:33:17.163056,MAYA.CACAO,2.14715827,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,42800.55119253,MAYA.CACAO-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,MAYA.CACAO-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,-59647.6616939
ARB_00001_3466,2025-04-20 22:41:06.163084,MAYA.CACAO,6.59795275,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,52514.94800583,MAYA.CACAO-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,MAYA.CACAO-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,45830.97501006
ARB_00002_5847,2025-05-08 16:13:15.163095,ETH.ETH,2.32823973,BTC.BTC,60559.98900914,BTC.BTC-ETH.ETH,BTC.BTC-ETH.ETH,44795.10377158
ARB_00003_9528,2025-01-09 03:25:59.163104,ETH.ETH,0.94682338,BTC.BTC,30432.81834748,BTC.BTC-ETH.ETH,BTC.BTC-ETH.ETH,-2424.80011477
ARB_00004_5886,2024-12-18 14:31:27.163119,KUJI.KUJI,9.6375707,MAYA.CACAO,391128.38272268,MAYA.CACAO-KUJI.KUJI,MAYA.CACAO-KUJI.KUJI,365897.76691752
ARB_00005_4899,2025-04-28 15:59:47.163128,KUJI.KUJI,2.49735737,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,5100.72131261,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48-KUJI.KUJI,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48-KUJI.KUJI,-50637.12857656
ARB_00006_6076,2025-03-11 08:42:47.163136,ETH.ETH,2.5342816,KUJI.KUJI,89641.42775727,ETH.ETH-KUJI.KUJI,ETH.ETH-KUJI.KUJI,-15013.55451325
ARB_00007_6413,2025-03-29 01:38:12.163144,ETH.ETH,0.02003014,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,119.98805669,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,-98.97823177
ARB_00008_9742,2025-05-05 01:59:30.163152,ETH.ETH,7.61424429,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,220603.65587422,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,190907.5797291
ARB_00009_4751,2025-02-03 07:06:25.163158,ETH.ETH,4.39454787,BTC.BTC,141780.06234602,BTC.BTC-ETH.ETH,BTC.BTC-ETH.ETH,42178.96263339
ARB_00010_9407,2025-03-05 02:06:25.163164,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,3.45325457,ETH.ETH,59642.56728874,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,49625.34350843
ARB_00011_8854,2025-05-01 15:49:06.163170,MAYA.CACAO,8.20863924,KUJI.KUJI,60956.17041415,MAYA.CACAO-KUJI.KUJI,MAYA.CACAO-KUJI.KUJI,-281215.25215814
ARB_00012_2496,2025-05-02 20:41:27.163175,ETH.ETH,1.59943619,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,32048.45251614,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,-8828.5901908
ARB_00013_4681,2025-02-10 10:05:17.163181,KUJI.KUJI,7.67166045,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,13759.54548009,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48-KUJI.KUJI,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48-KUJI.KUJI,-77201.32732739
ARB_00014_1594,2025-01-02 08:59:21.163187,MAYA.CACAO,5.20856908,KUJI.KUJI,183831.20855075,MAYA.CACAO-KUJI.KUJI,MAYA.CACAO-KUJI.KUJI,-14373.45388584
ARB_00015_3221,2025-04-04 21:35:31.163192,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,8.92861773,ETH.ETH,261119.38085494,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,-153557.44092881
ARB_00016_9043,2025-04-30 12:01:08.163198,BTC.BTC,7.04273819,KUJI.KUJI,40964.46324527,BTC.BTC-KUJI.KUJI,BTC.BTC-KUJI.KUJI,-210127.84828555
ARB_00017_2191,2025-01-29 13:02:42.163204,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,8.67984448,ETH.ETH,91631.9257471,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,-104279.36486008
ARB_00018_1469,2025-03-03 08:48:35.163210,MAYA.CACAO,4.92751578,ETH.ETH,90517.81991838,ETH.ETH-MAYA.CACAO,ETH.ETH-MAYA.CACAO,-147524.86411183
ARB_00019_2634,2025-02-16 11:57:29.163215,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,4.32053771,BTC.BTC,145656.93601173,BTC.BTC-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,BTC.BTC-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,58232.28207745
ARB_00020_6198,2025-04-25 19:49:09.163221,KUJI.KUJI,7.70346073,ETH.ETH,352275.2042669,ETH.ETH-KUJI.KUJI,ETH.ETH-KUJI.KUJI,-12711.99166787
ARB_00021_8694,2025-04-24 22:30:20.163227,BTC.BTC,6.42324638,MAYA.CACAO,318565.95975233,BTC.BTC-MAYA.CACAO,BTC.BTC-MAYA.CACAO,20072.26441261
ARB_00022_8183,2024-11-28 01:14:09.163232,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,8.31609733,MAYA.CACAO,62707.37485164,MAYA.CACAO-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,MAYA.CACAO-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,-81452.42647231
ARB_00023_6299,2025-03-09 21:53:38.163238,MAYA.CACAO,8.2499336,KUJI.KUJI,341276.33551358,MAYA.CACAO-KUJI.KUJI,MAYA.CACAO-KUJI.KUJI,97207.18828796
ARB_00024_4882,2025-01-23 02:36:05.163243,MAYA.CACAO,8.77851865,BTC.BTC,92981.36029535,BTC.BTC-MAYA.CACAO,BTC.BTC-MAYA.CACAO,-322248.70598839
ARB_00025_4386,2025-01-07 14:52:51.163250,KUJI.KUJI,1.54502816,BTC.BTC,61207.60907029,BTC.BTC-KUJI.KUJI,BTC.BTC-KUJI.KUJI,17727.75727758
ARB_00026_6631,2025-04-12 17:56:15.163256,BTC.BTC,4.02654074,KUJI.KUJI,176654.84439492,BTC.BTC-KUJI.KUJI,BTC.BTC-KUJI.KUJI,168489.13952382
ARB_00027_1725,2025-04-16 14:43:08.163261,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,9.62975077,KUJI.KUJI,373764.07579255,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48-KUJI.KUJI,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48-KUJI.KUJI,172972.31725768
ARB_00028_2239,2024-11-21 09:49:25.163267,BTC.BTC,2.79105839,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,37745.43076717,BTC.BTC-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,BTC.BTC-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,-18503.67800968
ARB_00029_1666,2024-11-20 13:39:24.163272,MAYA.CACAO,6.96282034,BTC.BTC,143124.33766171,BTC.BTC-MAYA.CACAO,BTC.BTC-MAYA.CACAO,-179685.34297756
ARB_00030_7120,2025-01-30 11:05:26.163278,ETH.ETH,4.00800474,BTC.BTC,87205.48253732,BTC.BTC-ETH.ETH,BTC.BTC-ETH.ETH,49215.26718565
ARB_00031_9578,2025-02-09 23:27:03.163283,BTC.BTC,8.20116782,KUJI.KUJI,330266.19340362,BTC.BTC-KUJI.KUJI,BTC.BTC-KUJI.KUJI,306197.82485525
ARB_00032_3833,2024-12-12 08:30:18.163289,ETH.ETH,4.38271463,KUJI.KUJI,181436.57524271,ETH.ETH-KUJI.KUJI,ETH.ETH-KUJI.KUJI,66276.48701137
ARB_00033_9931,2024-12-14 22:06:37.163295,MAYA.CACAO,2.82558026,KUJI.KUJI,36351.79895972,MAYA.CACAO-KUJI.KUJI,MAYA.CACAO-KUJI.KUJI,-18498.19394095
ARB_00034_8183,2025-02-25 07:45:19.163301,ETH.ETH,8.63895805,KUJI.KUJI,265859.18879582,ETH.ETH-KUJI.KUJI,ETH.ETH-KUJI.KUJI,75342.38409403
ARB_00035_3806,2025-03-27 20:42:50.163307,MAYA.CACAO,3.43042177,ETH.ETH,67990.70697462,ETH.ETH-MAYA.CACAO,ETH.ETH-MAYA.CACAO,43753.01562057
ARB_00036_2612,2024-11-23 05:46:55.163314,MAYA.CACAO,5.34618824,ETH.ETH,161219.72063997,ETH.ETH-MAYA.CACAO,ETH.ETH-MAYA.CACAO,9548.96179752
ARB_00037_6068,2025-04-13 09:13:33.163321,ETH.ETH,9.18387053,BTC.BTC,377911.63217309,BTC.BTC-ETH.ETH,BTC.BTC-ETH.ETH,47167.38072993
ARB_00038_5795,2024-12-20 03:23:12.163328,KUJI.KUJI,8.14314806,BTC.BTC,270985.10687972,BTC.BTC-KUJI.KUJI,BTC.BTC-KUJI.KUJI,270138.02745834
ARB_00039_5779,2025-05-07 15:20:32.163335,KUJI.KUJI,1.18803213,MAYA.CACAO,68138.01685322,MAYA.CACAO-KUJI.KUJI,MAYA.CACAO-KUJI.KUJI,56929.02823547
ARB_00040_3269,2025-04-24 04:53:48.163342,ETH.ETH,4.57408136,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,208040.36723767,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,97246.84500724
ARB_00041_7010,2025-05-12 11:31:43.163347,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,1.98469245,KUJI.KUJI,87654.47473368,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48-KUJI.KUJI,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48-KUJI.KUJI,52122.21162259
ARB_00042_7470,2024-11-23 02:44:33.163353,BTC.BTC,4.12000074,KUJI.KUJI,149812.34796205,BTC.BTC-KUJI.KUJI,BTC.BTC-KUJI.KUJI,127952.21488758
ARB_00043_6151,2025-03-17 11:01:57.163358,BTC.BTC,1.98546397,MAYA.CACAO,58759.7702436,BTC.BTC-MAYA.CACAO,BTC.BTC-MAYA.CACAO,3758.02894879
ARB_00044_6670,2025-04-28 09:43:20.163364,KUJI.KUJI,0.95677301,MAYA.CACAO,12210.80964265,MAYA.CACAO-KUJI.KUJI,MAYA.CACAO-KUJI.KUJI,3326.59372962
ARB_00045_1986,2025-03-16 19:54:20.163369,MAYA.CACAO,3.05306812,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,106991.51627916,MAYA.CACAO-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,MAYA.CACAO-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,92471.25300127
ARB_00046_4738,2024-12-31 11:32:57.163375,MAYA.CACAO,3.86676357,BTC.BTC,35538.96524647,BTC.BTC-MAYA.CACAO,BTC.BTC-MAYA.CACAO,-141743.71758108
ARB_00047_6871,2024-11-29 10:52:28.163381,ETH.ETH,4.16337878,KUJI.KUJI,154162.68742416,ETH.ETH-KUJI.KUJI,ETH.ETH-KUJI.KUJI,72708.34749901
ARB_00048_9627,2024-12-14 12:34:47.163386,KUJI.KUJI,5.26400888,ETH.ETH,160138.62656762,ETH.ETH-KUJI.KUJI,ETH.ETH-KUJI.KUJI,115922.25636568
ARB_00049_1434,2025-01-13 02:27:17.163392,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,5.69189061,MAYA.CACAO,111239.82374797,MAYA.CACAO-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,MAYA.CACAO-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,41029.60318288
ARB_00050_6488,2025-02-26 01:45:34.163398,ETH.ETH,9.22273535,MAYA.CACAO,196444.23622728,ETH.ETH-MAYA.CACAO,ETH.ETH-MAYA.CACAO,-153595.70313506
ARB_00051_5795,2024-12-26 06:04:39.163404,ETH.ETH,1.09588487,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,44610.52185119,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,ETH.ETH-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,40707.15739663
ARB_00052_4389,2025-03-19 06:48:52.163409,MAYA.CACAO,9.11777765,BTC.BTC,472269.12280001,BTC.BTC-MAYA.CACAO,BTC.BTC-MAYA.CACAO,363123.67796563
ARB_00053_6171,2024-11-29 04:07:46.163414,MAYA.CACAO,4.2094435,USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,96627.2163196,MAYA.CACAO-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,MAYA.CACAO-USDC.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,-8553.66318291
